date_iso,added_ticker,added_security,removed_ticker,removed_security,reason
2026-05-07,VEEV,Veeva Systems,CTRA,Coterra Energy,S&P 500 constituent Devon Energy Corp. is acquiring Coterra Energy.
2026-04-09,CASY,Casey's,HOLX,Hologic,Blackstone Inc. and TPG Inc. acquired Hologic.
2026-03-23,VRT,Vertiv,MTCH,Match Group,Market capitalization change.
2026-03-23,LITE,Lumentum,MOH,Molina Healthcare,Market capitalization change.
2026-03-23,COHR,Coherent Corp.,LW,Lamb Weston,Market capitalization change.
2026-03-23,SATS,EchoStar,PAYC,Paycom,Market capitalization change.
2026-02-09,CIEN,Ciena,DAY,Dayforce,Thoma Bravo L.P. acquired Dayforce.
2025-12-22,CRH,CRH,LKQ,LKQ Corporation,Market capitalization change.
2025-12-22,CVNA,Carvana,SOLS,Solstice Advanced Materials,Market capitalization change.
2025-12-22,FIX,Comfort Systems USA,MHK,Mohawk Industries,Market capitalization change.
2025-12-11,ARES,Ares Management,K,Kellanova,Mars Inc. acquired Kellanova.
2025-11-28,SNDK,Sandisk,IPG,Interpublic Group,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.
2025-11-04,,,EMN,Eastman Chemical Co.,Market capitalization change.
2025-11-03,Q,Qnity Electronics,,,"S&P 500 constituent Dupont de Nemours, Inc. spun off Qnity Electronics."
2025-10-31,,,KMX,CarMax,Market capitalization change.
2025-10-30,SOLS,Solstice Advanced Materials,,,S&P 500 and S&P 100 constituent Honeywell International Inc. spun off Solstice Advanced Materials.
2025-09-22,EME,Emcor,ENPH,Enphase Energy,Market capitalization change.
2025-09-22,HOOD,Robinhood Markets,CZR,Caesars Entertainment,Market capitalization change.
2025-09-22,APP,AppLovin,MKTX,MarketAxess,Market capitalization change.
2025-08-28,IBKR,Interactive Brokers,WBA,Walgreens Boots Alliance,Sycamore Partners acquired Walgreen Boots Alliance.
2025-07-23,XYZ,"Block, Inc.",HES,Hess Corporation,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation
2025-07-18,TTD,Trade Desk (The),ANSS,Ansys,S&P 500 constituent Synopsys Inc. acquired Ansys.
2025-07-09,DDOG,Datadog,JNPR,Juniper Networks,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.
2025-05-19,COIN,Coinbase,DFS,Discover Financial,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.
2025-03-24,DASH,DoorDash,BWA,BorgWarner,Market capitalization change.
2025-03-24,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization change.
2025-03-24,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization change.
2025-03-24,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization change.
2024-12-23,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.
2024-12-23,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.
2024-12-23,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.
2024-11-26,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.
2024-10-01,,,BBWI,"Bath & Body Works, Inc.",Market capitalization change.
2024-09-30,AMTM,Amentum,,,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings."
2024-09-23,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.
2024-09-23,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.
2024-09-23,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.
2024-06-24,KKR,KKR,RHI,Robert Half,Market capitalization change.
2024-06-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.
2024-06-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.
2024-05-08,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.
2024-04-03,,,XRAY,Dentsply Sirona,Market capitalization change.
2024-04-03,,,VFC,VF Corporation,Market capitalization change.
2024-04-02,GEV,GE Vernova,,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.
2024-04-01,SOLV,Solventum,,,S&P 500 and 100 constituent 3M Co. spun off Solventum.
2024-03-18,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.
2024-03-18,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.
2023-12-18,UBER,Uber,SEE,Sealed Air,Market capitalization change.
2023-12-18,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.
2023-12-18,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.
2023-10-18,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.
2023-10-18,LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.
2023-10-03,,,DXC,DXC Technology,Market capitalization change.
2023-10-02,VLTO,Veralto,,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.
2023-09-18,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.
2023-09-18,ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.
2023-08-25,KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.
2023-06-20,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.
2023-05-04,AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.
2023-03-20,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.
2023-03-15,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.
2023-03-15,PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership."
2023-01-05,,,VNO,Vornado Realty Trust,Market capitalization change.
2023-01-04,GEHC,GE HealthCare,,,S&P 500 constituent General Electric spun off GE HealthCare.
2022-12-22,STLD,Steel Dynamics,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.
2022-12-19,FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization change.
2022-12-19,,,MBC,MasterBrand,Market capitalization change.
2022-12-15,MBC,MasterBrand,,,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.
2022-11-01,ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.
2022-10-12,TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.
2022-10-03,PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.
2022-10-03,EQT,EQT Corporation,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.
2022-09-19,CSGP,CoStar Group,PVH,PVH,Market capitalization change.
2022-09-19,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization change.
2022-06-21,,,UA,Under Armour (Class C),Market capitalization change.
2022-06-21,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A),Market capitalization change.
2022-06-21,ON,ON Semiconductor,IPGP,IPG Photonics,Market capitalization change.
2022-06-08,VICI,Vici Properties,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.
2022-04-11,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.
2022-04-11,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.
2022-04-04,CPT,Camden Property Trust,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.
2022-03-02,MOH,Molina Healthcare,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.
2022-02-15,NDSN,Nordson Corporation,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.
2022-02-03,,,GPS,Gap,Market capitalization change.
2022-02-02,CEG,Constellation Energy,,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.
2021-12-20,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization change.
2021-12-20,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization change.
2021-12-20,FDS,FactSet,WU,Western Union,Market capitalization change.
2021-12-14,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.
2021-09-20,MTCH,Match Group,PRGO,Perrigo,Market capitalization change.
2021-09-20,CDAY,Ceridian,UNM,Unum,Market capitalization change.
2021-09-20,BRO,Brown & Brown,NOV,Nov,Market capitalization change.
2021-08-30,TECH,Bio-Techne,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.
2021-07-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.
2021-06-04,,,HFC,HollyFrontier,Market capitalization change.
2021-06-03,OGN,Organon & Co.,,,S&P 500/100 constituent Merck & Co. spun off Organon.
2021-05-14,CRL,Charles River Laboratories,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.
2021-04-20,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.
2021-03-22,NXPI,NXP,FLS,Flowserve,Market capitalization change.
2021-03-22,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization change.
2021-03-22,GNRC,Generac Holdings,XRX,Xerox,Market capitalization change.
2021-03-22,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization change.
2021-02-12,MPWR,Monolithic Power Systems,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.
2021-01-21,TRMB,Trimble,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.
2021-01-07,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.
2020-12-21,TSLA,Tesla,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.
2020-10-12,,,NBL,Noble Energy,Chevron acquired Noble Energy.
2020-10-09,VNT,Vontier,,,S&P 500 constituent Fortive spun off Vontier.
2020-10-07,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.
2020-09-21,ETSY,Etsy,HRB,H&R Block,Market capitalization change.
2020-09-21,TER,Teradyne,COTY,Coty,Market capitalization change.
2020-09-21,CTLT,Catalent,KSS,Kohl's,Market capitalization change.
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.
2020-06-22,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization change.
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.
2020-05-12,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.
2020-04-06,,,M,Macy's,Market capitalization change.
2020-04-06,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-03,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-03,CARR,Carrier,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.
2020-04-01,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.
2020-03-02,IR,Ingersoll Rand,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc."
2020-01-28,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.
