trial_id,F1_IS_sharpe,F2_IS_sharpe,F3_IS_sharpe,mc,thr,tr,sc,mpb,IS_min,IS_max,IS_mean,IS_std,valid_all_folds,valid_robust_05,valid_robust_10
1,1.4632615825644268,0.9314934925607664,1.3368758813635218,2,0.15,0.008,,,0.9314934925607664,1.4632615825644268,1.2438769854962384,0.27781454490529406,True,True,False
2,1.4632615825644268,0.9314934925607664,1.3368758813635218,2,0.15,0.008,,1.3,0.9314934925607664,1.4632615825644268,1.2438769854962384,0.27781454490529406,True,True,False
3,1.4148309787962503,0.9628825615056472,1.4155769552915036,2,0.15,0.008,0.3,,0.9628825615056472,1.4155769552915036,1.2644301651978003,0.2611481516105231,True,True,False
4,1.4148309787962503,0.9628825615056472,1.4155769552915036,2,0.15,0.008,0.3,1.3,0.9628825615056472,1.4155769552915036,1.2644301651978003,0.2611481516105231,True,True,False
5,1.4632615825644268,0.9314934925607664,1.3368758813635218,2,0.15,0.01,,,0.9314934925607664,1.4632615825644268,1.2438769854962384,0.27781454490529406,True,True,False
6,1.4632615825644268,0.9314934925607664,1.3368758813635218,2,0.15,0.01,,1.3,0.9314934925607664,1.4632615825644268,1.2438769854962384,0.27781454490529406,True,True,False
7,1.4148309787962503,0.9628825615056472,1.4155769552915036,2,0.15,0.01,0.3,,0.9628825615056472,1.4155769552915036,1.2644301651978003,0.2611481516105231,True,True,False
8,1.4148309787962503,0.9628825615056472,1.4155769552915036,2,0.15,0.01,0.3,1.3,0.9628825615056472,1.4155769552915036,1.2644301651978003,0.2611481516105231,True,True,False
9,1.4632615825644268,0.9314934925607664,1.3368758813635218,2,0.15,0.012,,,0.9314934925607664,1.4632615825644268,1.2438769854962384,0.27781454490529406,True,True,False
10,1.4632615825644268,0.9314934925607664,1.3368758813635218,2,0.15,0.012,,1.3,0.9314934925607664,1.4632615825644268,1.2438769854962384,0.27781454490529406,True,True,False
11,1.4148309787962503,0.9628825615056472,1.4155769552915036,2,0.15,0.012,0.3,,0.9628825615056472,1.4155769552915036,1.2644301651978003,0.2611481516105231,True,True,False
12,1.4148309787962503,0.9628825615056472,1.4155769552915036,2,0.15,0.012,0.3,1.3,0.9628825615056472,1.4155769552915036,1.2644301651978003,0.2611481516105231,True,True,False
13,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.15,0.008,,,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
14,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.15,0.008,,1.3,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
15,2.0377764908480125,1.210458564868612,1.0347625016210191,3,0.15,0.008,0.3,,1.0347625016210191,2.0377764908480125,1.4276658524458812,0.5356244206333088,True,True,True
16,2.0377764908480125,1.210458564868612,1.0347625016210191,3,0.15,0.008,0.3,1.3,1.0347625016210191,2.0377764908480125,1.4276658524458812,0.5356244206333088,True,True,True
17,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.15,0.01,,,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
18,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.15,0.01,,1.3,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
19,2.0377764908480125,1.210458564868612,1.0347625016210191,3,0.15,0.01,0.3,,1.0347625016210191,2.0377764908480125,1.4276658524458812,0.5356244206333088,True,True,True
20,2.0377764908480125,1.210458564868612,1.0347625016210191,3,0.15,0.01,0.3,1.3,1.0347625016210191,2.0377764908480125,1.4276658524458812,0.5356244206333088,True,True,True
21,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.15,0.012,,,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
22,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.15,0.012,,1.3,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
23,2.0377764908480125,1.210458564868612,1.0347625016210191,3,0.15,0.012,0.3,,1.0347625016210191,2.0377764908480125,1.4276658524458812,0.5356244206333088,True,True,True
24,2.0377764908480125,1.210458564868612,1.0347625016210191,3,0.15,0.012,0.3,1.3,1.0347625016210191,2.0377764908480125,1.4276658524458812,0.5356244206333088,True,True,True
25,1.7420226560199996,1.0828243843006675,1.5100089370496494,2,0.2,0.008,,,1.0828243843006675,1.7420226560199996,1.4449519924567722,0.33437986615413784,True,True,True
26,1.7420226560199996,1.0828243843006675,1.5100089370496494,2,0.2,0.008,,1.3,1.0828243843006675,1.7420226560199996,1.4449519924567722,0.33437986615413784,True,True,True
27,1.5209812000531375,1.1516895247728385,1.353423607757662,2,0.2,0.008,0.3,,1.1516895247728385,1.5209812000531375,1.3420314441945462,0.18490922475858,True,True,True
28,1.5209812000531375,1.1516895247728385,1.353423607757662,2,0.2,0.008,0.3,1.3,1.1516895247728385,1.5209812000531375,1.3420314441945462,0.18490922475858,True,True,True
29,1.7420226560199996,1.0828243843006675,1.5100089370496494,2,0.2,0.01,,,1.0828243843006675,1.7420226560199996,1.4449519924567722,0.33437986615413784,True,True,True
30,1.7420226560199996,1.0828243843006675,1.5100089370496494,2,0.2,0.01,,1.3,1.0828243843006675,1.7420226560199996,1.4449519924567722,0.33437986615413784,True,True,True
31,1.5209812000531375,1.1516895247728385,1.353423607757662,2,0.2,0.01,0.3,,1.1516895247728385,1.5209812000531375,1.3420314441945462,0.18490922475858,True,True,True
32,1.5209812000531375,1.1516895247728385,1.353423607757662,2,0.2,0.01,0.3,1.3,1.1516895247728385,1.5209812000531375,1.3420314441945462,0.18490922475858,True,True,True
33,1.7420226560199996,1.0828243843006675,1.5100089370496494,2,0.2,0.012,,,1.0828243843006675,1.7420226560199996,1.4449519924567722,0.33437986615413784,True,True,True
34,1.7420226560199996,1.0828243843006675,1.5100089370496494,2,0.2,0.012,,1.3,1.0828243843006675,1.7420226560199996,1.4449519924567722,0.33437986615413784,True,True,True
35,1.5209812000531375,1.1516895247728385,1.353423607757662,2,0.2,0.012,0.3,,1.1516895247728385,1.5209812000531375,1.3420314441945462,0.18490922475858,True,True,True
36,1.5209812000531375,1.1516895247728385,1.353423607757662,2,0.2,0.012,0.3,1.3,1.1516895247728385,1.5209812000531375,1.3420314441945462,0.18490922475858,True,True,True
37,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.2,0.008,,,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
38,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.2,0.008,,1.3,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
39,2.0377764908480125,1.210458564868612,0.962065068266777,3,0.2,0.008,0.3,,0.962065068266777,2.0377764908480125,1.4034333746611338,0.5632212922810903,True,True,False
40,2.0377764908480125,1.210458564868612,0.962065068266777,3,0.2,0.008,0.3,1.3,0.962065068266777,2.0377764908480125,1.4034333746611338,0.5632212922810903,True,True,False
41,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.2,0.01,,,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
42,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.2,0.01,,1.3,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
43,2.0377764908480125,1.210458564868612,0.962065068266777,3,0.2,0.01,0.3,,0.962065068266777,2.0377764908480125,1.4034333746611338,0.5632212922810903,True,True,False
44,2.0377764908480125,1.210458564868612,0.962065068266777,3,0.2,0.01,0.3,1.3,0.962065068266777,2.0377764908480125,1.4034333746611338,0.5632212922810903,True,True,False
45,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.2,0.012,,,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
46,2.083819934210407,1.2547639129820545,0.9988492236954704,3,0.2,0.012,,1.3,0.9988492236954704,2.083819934210407,1.4458110236293107,0.5671548373538043,True,True,False
47,2.0377764908480125,1.210458564868612,0.962065068266777,3,0.2,0.012,0.3,,0.962065068266777,2.0377764908480125,1.4034333746611338,0.5632212922810903,True,True,False
48,2.0377764908480125,1.210458564868612,0.962065068266777,3,0.2,0.012,0.3,1.3,0.962065068266777,2.0377764908480125,1.4034333746611338,0.5632212922810903,True,True,False
49,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.008,,,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
50,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.008,,1.3,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
51,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.008,0.3,,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
52,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.008,0.3,1.3,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
53,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.01,,,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
54,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.01,,1.3,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
55,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.01,0.3,,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
56,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.01,0.3,1.3,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
57,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.012,,,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
58,1.705432426320734,1.1813178455442237,1.625398126367187,2,0.25,0.012,,1.3,1.1813178455442237,1.705432426320734,1.5040494660773815,0.28234402147244464,True,True,True
59,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.012,0.3,,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
60,1.5585752830425474,1.278292763349683,1.5514372449140537,2,0.25,0.012,0.3,1.3,1.278292763349683,1.5585752830425474,1.462768430435428,0.15980047467742056,True,True,True
61,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.008,,,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
62,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.008,,1.3,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
63,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.008,0.3,,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
64,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.008,0.3,1.3,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
65,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.01,,,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
66,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.01,,1.3,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
67,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.01,0.3,,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
68,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.01,0.3,1.3,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
69,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.012,,,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
70,2.083819934210407,1.4750974363407627,1.0062560704705323,3,0.25,0.012,,1.3,1.0062560704705323,2.083819934210407,1.5217244803405672,0.5402930047979722,True,True,True
71,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.012,0.3,,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
72,2.0377764908480125,1.184127637903948,0.9815064960524388,3,0.25,0.012,0.3,1.3,0.9815064960524388,2.0377764908480125,1.4011368749347997,0.5605767852791397,True,True,False
