trial_id,fold_id,oos_sharpe
1,F1,3.751855126267981
1,F2,2.908530508269892
1,F3,-0.1102884205611167
2,F1,3.751855126267981
2,F2,2.908530508269892
2,F3,-0.1102884205611167
3,F1,3.751855126267981
3,F2,2.6776697341842848
3,F3,-0.1102884205611167
4,F1,3.751855126267981
4,F2,2.6776697341842848
4,F3,-0.1102884205611167
5,F1,3.751855126267981
5,F2,2.908530508269892
5,F3,-0.1102884205611167
6,F1,3.751855126267981
6,F2,2.908530508269892
6,F3,-0.1102884205611167
7,F1,3.751855126267981
7,F2,2.6776697341842848
7,F3,-0.1102884205611167
8,F1,3.751855126267981
8,F2,2.6776697341842848
8,F3,-0.1102884205611167
9,F1,3.751855126267981
9,F2,2.908530508269892
9,F3,-0.1102884205611167
10,F1,3.751855126267981
10,F2,2.908530508269892
10,F3,-0.1102884205611167
11,F1,3.751855126267981
11,F2,2.6776697341842848
11,F3,-0.1102884205611167
12,F1,3.751855126267981
12,F2,2.6776697341842848
12,F3,-0.1102884205611167
13,F1,2.57554698190095
13,F2,3.2887250610161125
13,F3,1.2206474468019617
14,F1,2.57554698190095
14,F2,3.2887250610161125
14,F3,1.2206474468019617
15,F1,2.57554698190095
15,F2,3.2887250610161125
15,F3,1.2206474468019617
16,F1,2.57554698190095
16,F2,3.2887250610161125
16,F3,1.2206474468019617
17,F1,2.57554698190095
17,F2,3.2887250610161125
17,F3,1.2206474468019617
18,F1,2.57554698190095
18,F2,3.2887250610161125
18,F3,1.2206474468019617
19,F1,2.57554698190095
19,F2,3.2887250610161125
19,F3,1.2206474468019617
20,F1,2.57554698190095
20,F2,3.2887250610161125
20,F3,1.2206474468019617
21,F1,2.57554698190095
21,F2,3.2887250610161125
21,F3,1.2206474468019617
22,F1,2.57554698190095
22,F2,3.2887250610161125
22,F3,1.2206474468019617
23,F1,2.57554698190095
23,F2,3.2887250610161125
23,F3,1.2206474468019617
24,F1,2.57554698190095
24,F2,3.2887250610161125
24,F3,1.2206474468019617
25,F1,3.751855126267981
25,F2,3.0593229420613306
25,F3,-0.1102884205611167
26,F1,3.751855126267981
26,F2,3.0593229420613306
26,F3,-0.1102884205611167
27,F1,3.751855126267981
27,F2,2.92209607336876
27,F3,-0.1102884205611167
28,F1,3.751855126267981
28,F2,2.92209607336876
28,F3,-0.1102884205611167
29,F1,3.751855126267981
29,F2,3.0593229420613306
29,F3,-0.1102884205611167
30,F1,3.751855126267981
30,F2,3.0593229420613306
30,F3,-0.1102884205611167
31,F1,3.751855126267981
31,F2,2.92209607336876
31,F3,-0.1102884205611167
32,F1,3.751855126267981
32,F2,2.92209607336876
32,F3,-0.1102884205611167
33,F1,3.751855126267981
33,F2,3.0593229420613306
33,F3,-0.1102884205611167
34,F1,3.751855126267981
34,F2,3.0593229420613306
34,F3,-0.1102884205611167
35,F1,3.751855126267981
35,F2,2.92209607336876
35,F3,-0.1102884205611167
36,F1,3.751855126267981
36,F2,2.92209607336876
36,F3,-0.1102884205611167
37,F1,2.57554698190095
37,F2,3.150648351199907
37,F3,1.452290570137581
38,F1,2.57554698190095
38,F2,3.150648351199907
38,F3,1.452290570137581
39,F1,2.57554698190095
39,F2,3.150648351199907
39,F3,1.452290570137581
40,F1,2.57554698190095
40,F2,3.150648351199907
40,F3,1.452290570137581
41,F1,2.57554698190095
41,F2,3.150648351199907
41,F3,1.452290570137581
42,F1,2.57554698190095
42,F2,3.150648351199907
42,F3,1.452290570137581
43,F1,2.57554698190095
43,F2,3.150648351199907
43,F3,1.452290570137581
44,F1,2.57554698190095
44,F2,3.150648351199907
44,F3,1.452290570137581
45,F1,2.57554698190095
45,F2,3.150648351199907
45,F3,1.452290570137581
46,F1,2.57554698190095
46,F2,3.150648351199907
46,F3,1.452290570137581
47,F1,2.57554698190095
47,F2,3.150648351199907
47,F3,1.452290570137581
48,F1,2.57554698190095
48,F2,3.150648351199907
48,F3,1.452290570137581
49,F1,3.751855126267981
49,F2,3.07980355426643
49,F3,-0.1102884205611167
50,F1,3.751855126267981
50,F2,3.07980355426643
50,F3,-0.1102884205611167
51,F1,3.751855126267981
51,F2,3.07980355426643
51,F3,-0.1102884205611167
52,F1,3.751855126267981
52,F2,3.07980355426643
52,F3,-0.1102884205611167
53,F1,3.751855126267981
53,F2,3.07980355426643
53,F3,-0.1102884205611167
54,F1,3.751855126267981
54,F2,3.07980355426643
54,F3,-0.1102884205611167
55,F1,3.751855126267981
55,F2,3.07980355426643
55,F3,-0.1102884205611167
56,F1,3.751855126267981
56,F2,3.07980355426643
56,F3,-0.1102884205611167
57,F1,3.751855126267981
57,F2,3.07980355426643
57,F3,-0.1102884205611167
58,F1,3.751855126267981
58,F2,3.07980355426643
58,F3,-0.1102884205611167
59,F1,3.751855126267981
59,F2,3.07980355426643
59,F3,-0.1102884205611167
60,F1,3.751855126267981
60,F2,3.07980355426643
60,F3,-0.1102884205611167
61,F1,2.630726481706253
61,F2,3.032969922188687
61,F3,1.2047525018394232
62,F1,2.630726481706253
62,F2,3.032969922188687
62,F3,1.2047525018394232
63,F1,2.630726481706253
63,F2,3.032969922188687
63,F3,1.2047525018394232
64,F1,2.630726481706253
64,F2,3.032969922188687
64,F3,1.2047525018394232
65,F1,2.630726481706253
65,F2,3.032969922188687
65,F3,1.2047525018394232
66,F1,2.630726481706253
66,F2,3.032969922188687
66,F3,1.2047525018394232
67,F1,2.630726481706253
67,F2,3.032969922188687
67,F3,1.2047525018394232
68,F1,2.630726481706253
68,F2,3.032969922188687
68,F3,1.2047525018394232
69,F1,2.630726481706253
69,F2,3.032969922188687
69,F3,1.2047525018394232
70,F1,2.630726481706253
70,F2,3.032969922188687
70,F3,1.2047525018394232
71,F1,2.630726481706253
71,F2,3.032969922188687
71,F3,1.2047525018394232
72,F1,2.630726481706253
72,F2,3.032969922188687
72,F3,1.2047525018394232
